                  epoch,    train/box_loss, train/cls_loss,    train/dfl_loss,metrics/precision(B),  metrics/recall(B), metrics/mAP50(B),metrics/mAP50-95(B), val/box_loss,val/cls_loss, val/dfl_loss, lr/pg0, lr/pg1,  lr/pg2
156,1.4158,1.4084,1.825,0.81536,0.83494,0.90275,0.54246,1.2926,1.2865,1.9121,0.0004654,0.0004654,0.0004654
157,1.4483,1.417,1.8503,0.82369,0.79028,0.88989,0.52529,1.3351,1.2837,1.9054,0.0004555,0.0004555,0.0004555
158,1.4499,1.4118,1.8246,0.87062,0.81543,0.87776,0.52936,1.3207,1.3157,1.9443,0.0004456,0.0004456,0.0004456
159,1.4249,1.3951,1.8245,0.8151,0.82185,0.88276,0.50743,1.3663,1.2307,1.9727,0.0004357,0.0004357,0.0004357
160,1.4275,1.3778,1.8182,0.80901,0.84517,0.86875,0.53096,1.305,1.2702,1.9117,0.0004258,0.0004258,0.0004258
161,1.4234,1.3621,1.8144,0.78083,0.86505,0.87116,0.5182,1.3167,1.3159,1.9229,0.0004159,0.0004159,0.0004159
162,1.4032,1.3515,1.7832,0.86925,0.8255,0.87185,0.52125,1.3584,1.2191,1.9314,0.000406,0.000406,0.000406
163,1.4269,1.3562,1.8127,0.80061,0.83613,0.88574,0.52232,1.3592,1.2122,1.9305,0.0003961,0.0003961,0.0003961
164,1.4351,1.3795,1.8204,0.7783,0.81699,0.86219,0.52332,1.3315,1.3194,1.9119,0.0003862,0.0003862,0.0003862
165,1.3883,1.3412,1.8007,0.82859,0.86424,0.89439,0.54954,1.3002,1.1187,1.8668,0.0003763,0.0003763,0.0003763
166,1.3681,1.2856,1.7621,0.78098,0.84379,0.87896,0.53525,1.2973,1.1562,1.872,0.0003664,0.0003664,0.0003664
167,1.362,1.299,1.7504,0.83208,0.88638,0.92386,0.5659,1.2915,1.1068,1.8905,0.0003565,0.0003565,0.0003565
168,1.3885,1.2998,1.7773,0.83306,0.85029,0.91132,0.55153,1.3158,1.1616,1.9131,0.0003466,0.0003466,0.0003466
169,1.3764,1.2919,1.7704,0.77893,0.85516,0.89803,0.56582,1.2699,1.0852,1.8569,0.0003367,0.0003367,0.0003367
170,1.3769,1.2846,1.7822,0.8546,0.87818,0.91464,0.57232,1.2822,1.0605,1.8563,0.0003268,0.0003268,0.0003268
171,1.3559,1.2522,1.7508,0.82941,0.84924,0.91306,0.55384,1.263,1.087,1.8467,0.0003169,0.0003169,0.0003169
172,1.3357,1.2591,1.7264,0.87478,0.85153,0.91493,0.57203,1.2574,1.053,1.8554,0.000307,0.000307,0.000307
173,1.3498,1.2426,1.742,0.82376,0.86091,0.91251,0.56998,1.2838,1.0456,1.8745,0.0002971,0.0002971,0.0002971
